word_family_id,canonical_headword,forms,derived_forms,compound_forms,categories,register,meaning_en_simple,related_words,opposites,raw_count_total,document_frequency_total,source_diversity,source_tables,confidence,needs_human_review
highlord,highlord,highlord,,,nobility_titles_power,,"a high-ranking noble or leader, especially in a fantasy or medieval setting",king;queen;prince;princess,commoner;peasant;subject,27,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
hollow,hollow,hollow,,,ancient_ruins_memory,,"a cavity or empty space, especially in a rock or tree",cave;chamber;void,solid;full;complete,27,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
ji-kun,ji-kun,ji-kun,,ji-kun,death_undead_crypt,,"Ji-Kun, death and undead",flesh-shapers;decay,,27,23,2,JournalEncounter;JournalEncounterSection,1.0,False
leftover,leftover,leftover,,,trade_crafting,,something that is left over or remaining,remaining;residual;excess,,27,27,2,ItemSparse;JournalEncounterSection,1.0,False
lunar,lunar,lunar,,,pandaria_mists_celestials,,relating to the moon or its cycles,moonlit;luminous;silvery,solar;sunlit;daytime,27,25,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
malevolent,malevolent,malevolent,,,dark_profane,,having or showing a wish to do harm to others,evil;wicked;cruel,benevolent;kind;gentle,27,27,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
maul,maul,maul,,,forge_weapons_armor,,a heavy club or bludgeon,club;bludgeon;hammer,sword;dagger;knife,27,24,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
mueh'zala,mueh'zala,mueh'zala,,,death_mourning,,a person or thing that causes death or mourning,mourn;grieve;lament,celebrate;rejoice;honor,27,21,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
noxiou,noxiou,noxious,,,corruption_defilement_curse,,harmful or poisonous,poisonous;toxic;venomous,beneficial;helpful;useful,27,26,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
overcharg,overcharg,overcharged,,,goblin_engineering_alchemy,,"filled or loaded with too much of something, often to the point of being unstable or explosive",volatile;blasted;detonated,stable;calm;peaceful,27,23,2,ItemSparse;JournalEncounterSection,0.9,False
pilfer,pilfer,pilfered;pilfering,,,corruption_defilement_curse,,stealing or taking something without permission,thief;steal;robbery,honesty;integrity,27,27,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
plann,plann,planned;planning,,,trade_crafting,,the act of making a plan or strategy,plan;strategy,,27,27,3,BroadcastText;ItemSparse;JournalEncounter,0.1,True
protoform,protoform,protoform,,,ancient_ruins_memory,,an early or primitive form of something,primitive;early;ancestral,advanced;sophisticated;refined,27,25,3,ItemNameDescription;ItemSparse;JournalEncounterSection,0.8,False
reign,reign,reign,,,nobility_titles_power,,"a period of time when someone is in charge or has authority, often in a formal or official way",period;authority;official,chaos;disorder,27,27,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
rever,rever,revered,,,ritual_religion,,"held in great respect or admiration, especially because of a person's achievements or qualities",respected;honored;adored,despised;hated;abhorred,27,27,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
rook,rook,rook,,,dragons_draconic,,a type of bird or a chess piece,bird;chess;piece,king;queen;bishop,27,23,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
rumor,rumor,rumored;rumors,,,law_oath_crime;travel_places,,"unverified or unconfirmed reports of something, especially a piece of news or information",news;information;gossip,facts;truths,27,27,3,BroadcastText;ItemSparse;JournalEncounter,0.7,True
salvag,salvag,salvaged,,,corruption_defilement_curse,,rescued or recovered from a wreck or disaster,rescued;recovered;saved,lost;destroyed;wrecked,27,27,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
sha-touch,sha-touch,sha-touched,,sha-touched,pandaria_mists_celestials,,"influenced, affected by sha energy",touched;affected,untouched;unaffected,27,27,1,ItemSparse,0.6,True
shredder,shredder,shredder;shredders,,,forge_weapons_armor;war_conflict,,a type of mechanical device for cutting or tearing,mechanical;cutting;tearing,,27,24,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
skyfire,skyfire,skyfire,,,void_old_gods_cosmic_horror,,"a type of intense, fiery energy or power",energy;power;fire,,27,20,2,ItemSparse;JournalEncounterSection,1.0,False
stamina,stamina,stamina,,,nature_druid_emerald,,"the ability to withstand physical or mental strain, especially over a long period of time",endurance;perseverance;tenacity,fatigue;exhaustion;weakness,27,27,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
temper,temper,temper;tempered,,,emotion_morality;forge_weapons_armor,,made stronger or more resistant by heat treatment,strengthened;hardened;alloyed,,27,27,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
transport,transport,transport,,,travel_places,,"to move or carry something from one place to another, especially using a vehicle or other means of transportation",move;carry;convey,stay;remain;linger,27,27,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
unfortunately,unfortunately,unfortunately,,,law_oath_crime,,in an unfortunate or unlucky way,unlucky;unfortunate;misfortune,luckily;happily;fortunately,27,27,3,BroadcastText;ItemSparse;JournalEncounter,0.8,False
unravel,unravel,unravel;unraveling,,,ancient_ruins_memory;void_old_gods_cosmic_horror,,the act of becoming disordered or confused,disorder;confusion;chaos,,27,27,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
volcanic,volcanic,volcanic,,,void_old_gods_cosmic_horror,,relating to or characteristic of volcanoes or volcanic activity,volcano;volcanic;lava,,27,26,2,ItemSparse;JournalEncounterSection,1.0,False
wash,wash,wash;washes,,,travel_places,,"to clean or purify something, often in a way that is intentional or deliberate",clean;purify;rinse,,27,27,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
whelpl,whelpl,whelpling,,,dragons_draconic,,a young or immature dragon,dragon;young;immature,,27,27,2,ItemSparse;JournalEncounterSection,1.0,False
aim,aim,aim;aims,,,forge_weapons_armor;war_conflict,,"to direct or point something, possibly referring to a concept of craftsmanship or skill in the game",direct;point;target,misses;strays;deviates,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
apparently,apparently,apparently,,,emotion_morality,,"in a way that seems or appears to be true, but may not actually be so",seem;appear;true,,26,26,2,BroadcastText;ItemSparse,1.0,False
award,award,awarded,,,law_oath_crime,,"to give or receive a prize, honor, or recognition for something",give;receive;prize,,26,26,2,ItemSparse;JournalEncounter,1.0,False
bael'gar,bael'gar,bael'gar,,,void_old_gods_cosmic_horror,,a type of dark or malevolent energy,dark;malevolent;evil,good;beneficial;harmless,26,17,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
basic,basic,basic,,,trade_crafting,,simple or fundamental in nature,simple;fundamental;primary,complex;advanced;sophisticated,26,26,3,BroadcastText;ItemSparse;JournalEncounterSection,0.9,False
blackfuse,blackfuse,blackfuse,,,trade_crafting,,"a company or organization that specializes in the production or sale of black metal, especially in a fantasy or medieval setting",smith;artisan;craftsman,white;silver;gold,26,23,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
blackhand,blackhand,blackhand,,,war_conflict,,"a person or group that is associated with darkness, evil, or malevolence, especially in a fantasy or medieval setting",dark;evil;malevolent,good;virtuous;benign,26,23,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
burden,burden,burden;burdened,,,corruption_defilement_curse;emotion_morality,,a weight or responsibility that one must carry,weight;responsibility;carry,relieve;ease;lighten,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
capacity,capacity,capacity,,,nature_druid_emerald,,the ability to hold or contain something,ability;holding;containing,limitation;restriction;constraint,26,21,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
complete,complete,completes,,,trade_crafting,,brings something to a finished or completed state,finished;completed;done,incomplete;unfinished;uncompleted,26,26,3,BroadcastText;ItemSparse;JournalEncounterSection,0.8,False
congeal,congeal,congealed,,,corruption_defilement_curse,,"to become or make something solid or hardened, often by cooling or freezing",solid;hardened;cooling,,26,19,2,ItemSparse;JournalEncounterSection,1.0,False
containment,containment,containment,containment,,war_conflict,,"the act of holding or keeping something within a particular area or boundary, especially to prevent it from spreading or escaping",holding;keeping;confining,release;liberation;freedom,26,23,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
damn,damn,damned,,,dark_profane,,"considered to be evil or wicked, and therefore punished or cursed",cursed;doomed;lost,blessed;saved;redeemed,26,24,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
data,data,data,,,corruption_defilement_curse,,information or facts stored in a computer system,,,26,25,2,BroadcastText;ItemSparse,0.8,False
denizen,denizen,denizens,,,family_relationships,,"people who live in a particular place or community, especially one that is associated with a particular culture or way of life",inhabitants;residents;citizens,strangers;outsiders;foreigners,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
drive,drive,drive,,,travel_places,,"to move or propel something, especially using a vehicle or other means of transportation",move;propel;push,stay;remain;linger,26,22,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
effort,effort,effort,,,light_holy,,a person's attempt to do something,work;struggle;endeavor,relaxation;leisure,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
empowerment,empowerment,empowerment,empowerment,,magic_artifacts_runes,,the act of giving someone power or authority,power;authority;ability,disempowerment;deprivation;restriction,26,26,3,ItemNameDescription;ItemSparse;JournalEncounterSection,0.8,False
engage,engage,engage,,,war_conflict,,to become involved in a fight or battle,,,26,26,2,BroadcastText;JournalEncounterSection,0.9,False
enrag,enrag,enraged,,,dark_profane,,very angry or furious,furious;angry;irate,calm;peaceful,26,24,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
entrance,entrance,entrance,,,death_undead_crypt,,the act of entering a place or situation,entry;admission;access,exit;departure,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
essence,essence,essences,,,magic_artifacts_runes,,the fundamental nature or character of something,nature;character;quality,defects;flaws;imperfections,26,26,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
exarch,exarch,exarch;exarchs,,,family_relationships;nobility_titles_power,,a high-ranking official or leader,official;leader;high-ranking,low-ranking;junior;subordinate,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
face,face,faces,,,void_old_gods_cosmic_horror,,the front or appearance of something,face;appearance;countenance,back;rear,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
felt,felt,felt,,,emotion_morality,,experienced or perceived a particular emotion,sensed;perceived;recognized,unfelt;unnoticed,26,26,3,BroadcastText;ItemSparse;JournalEncounter,0.8,False
fetid,fetid,fetid,,,corruption_defilement_curse,,"having a strong, unpleasant smell",stinking;stench;odor,fragrant;sweet-smelling,26,23,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
firestorm,firestorm,firestorm,,,void_old_gods_cosmic_horror,,a storm of fire or flames,,,26,26,2,ItemNameDescription;JournalEncounterSection,0.8,False
float,float,float;floating,,,nature_druid_emerald;travel_places,,moving or suspended in the air,float;drift;suspended,grounded;stable;fixed,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
fracture,fracture,fracture,,,death_mourning,,a break or crack in a bone,break;crack;shatter,intact;whole,26,26,3,BroadcastText;ItemSparse;JournalEncounterSection,0.8,False
frequently,frequently,frequently,,,trade_crafting,,often or repeatedly,,,26,25,2,ItemSparse;JournalEncounterSection,0.7,True
friendly,friendly,friendly,,,family_relationships,,having a positive or affectionate attitude towards someone,kind;gentle;affectionate,hostile;unfriendly,26,25,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
gloom,gloom,gloom,,,death_mourning,,a state of sadness or depression,sadness;depression;melancholy,happiness;joy,26,25,3,BroadcastText;ItemSparse;JournalEncounterSection,0.8,False
glubtok,glubtok,glubtok,,,death_undead_crypt,,a type of undead creature,,,26,18,2,JournalEncounter;JournalEncounterSection,0.9,False
grab,grab,grab;grabs,,,war_conflict,,"to seize or take hold of something, often in a forceful way",seize;take;grasp,release;let go,26,26,3,BroadcastText;ItemSparse;JournalEncounterSection,0.9,False
harmony,harmony,harmony,,,nature_druid_emerald,,a state of being in agreement or balance,balance;agreement;concord,discord;dissonance,26,26,4,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter,0.9,False
hate,hate,hate;hated,,,corruption_defilement_curse;emotion_morality,,a strong feeling of dislike or hostility towards someone or something,dislike;hostility;anger,love;affection,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
hearty,hearty,hearty,,,nature_druid_emerald,,full of energy and vitality,,,26,26,2,ItemSparse;JournalEncounterSection,0.7,True
hex,hex,hex;hexed,,,magic_artifacts_runes,,a type of magical or mystical energy,magical;mystical;energy,secular;profane,26,26,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
hound,hound,hound;hounds,,,death_mourning;death_undead_crypt,,"a type of dog, often used for hunting or tracking",dog;animal;hunting,cat;bird,26,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
human,human,human,,,family_relationships,,a member of the species Homo sapiens,person;mortal;individual,non-human;animal,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
junk,junk,junk,,,goblin_engineering_alchemy,,something that is worthless or of no use,trash;rubbish;scrap,treasure;valuable,26,22,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
karazhan,karazhan,karazhan,,,travel_places,,a location in the Warcraft universe,place;location;site,unknown;unfamiliar,26,26,3,BroadcastText;ItemSparse;JournalEncounter,0.8,False
lure,lure,lure,,,trade_crafting,,to attract or entice someone or something,attract;draw;entice,repel;deter;discourage,26,26,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
madden,madden,maddening,,,void_old_gods_cosmic_horror,,"causing or inducing madness, especially in a way that is frightening or disturbing",terrifying;frightening;horrific,soothing;calming;peaceful,26,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
malfurion,malfurion,malfurion,,,travel_places,,a character in the Warcraft universe,character;person;individual,unknown;unfamiliar,26,21,3,BroadcastText;JournalEncounter;JournalEncounterSection,0.8,False
mantle,mantle,mantle,,,family_relationships,,a cloak or covering worn on the shoulders,cloak;cape;coat,bareness;nudity,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
munition,munition,munitions,,,war_conflict,,ammunition or supplies for war,arms;equipment;supplies,peaceful;non-violent,26,17,3,ItemNameDescription;JournalEncounter;JournalEncounterSection,0.8,False
nozdormu,nozdormu,nozdormu,,,void_old_gods_cosmic_horror,,a god in the Warcraft universe,god;deity;divinity,mortal;human,26,22,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
organ,organ,organ;organs,,,death_mourning;nature_druid_emerald,,"a part of a plant or animal, possibly a musical instrument",plant;animal;musical instrument,,26,24,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
pact,pact,pact,,,law_oath_crime,,a formal agreement or contract between two or more people,agreement;contract;treaty,disagreement;conflict;discord,26,26,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
pinnacle,pinnacle,pinnacle,,,travel_places,,the highest or most prominent point of something,top;peak;summit,base;bottom;lowest,26,26,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
plague,plague,plagued;plagues;plaguing,,,corruption_defilement_curse,,a widespread disease or affliction,epidemic;pandemic,,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
prov,prov,proved;proving,,,law_oath_crime;war_conflict,,to demonstrate or show something to be true,demonstrate;true,,26,26,3,BroadcastText;ItemSparse;JournalEncounter,0.9,False
purge,purge,purge,,,corruption_defilement_curse,,to remove or get rid of something unwanted,cleanse;purify;remove,pollute;contaminate,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
pursuit,pursuit,pursuit,,,war_conflict,,the act of chasing or following something,chase;follow;pursue,escape;flee,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
recent,recent,recent,,,travel_places,,happening or existing recently,new;current;modern,old;ancient,26,26,3,BroadcastText;ItemSparse;JournalEncounter,0.9,False
resist,resist,resist;resisted,,,corruption_defilement_curse;war_conflict,,"to oppose or fight against something, possibly referring to a concept of war or conflict in the game",oppose;fight;battle,yield;surrender;capitulate,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
saronite,saronite,saronite,,,forge_weapons_armor,,a type of metal or material,metal;material;substance,non-metallic;inert,26,22,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
shed,shed,shed,,,nature_druid_emerald,,a building or structure for storing things,,,26,24,2,ItemSparse;JournalEncounterSection,0.7,True
shrine,shrine,shrine;shrines,,,ritual_religion,,a small building or structure used for worship or as a memorial,temple;sanctuary;memorial,,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
sinestra,sinestra,sinestra,,,void_old_gods_cosmic_horror,,a type of dragon or powerful being,,,26,24,2,JournalEncounter;JournalEncounterSection,0.9,False
sludge,sludge,sludge,,,corruption_defilement_curse,,"a thick, heavy liquid or substance",mud;gunk;grime,clear;clean,26,25,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
stomach,stomach,stomach,,,death_mourning,,the part of the body where food is digested,belly;abdomen;gut,empty;hollow,26,24,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
tender,tender,tender,,,family_relationships,,showing care or concern for someone or something,care;concern;affection,harshness;cruelty,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
timeway,timeway,timeway;timeways,,,death_undead_crypt;void_old_gods_cosmic_horror,,a concept or realm related to time and the cosmos,time;cosmos;universe,linearity;sequentiality,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
transfer,transfer,transfer,,,war_conflict,,to move or convey something from one place to another,move;shift;relocate,stay;remain,26,20,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
usually,usually,usually,,,travel_places,,in a usual or expected way,normally;ordinarily;customarily,exceptionally;unusually,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
valarjar,valarjar,valarjar,,,nobility_titles_power,,a group or title in the Warcraft universe,group;title;rank,unknown;unfamiliar,26,21,3,BroadcastText;ItemSparse;JournalEncounterSection,0.8,False
web,web,webs,,,nature_druid_emerald,,a network of threads or fibers,web;network;mesh,openness;freedom,26,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
advanc,advanc,advanced,,,trade_crafting,,improved or more complex than something else,,,25,24,2,ItemSparse;JournalEncounter,0.7,True
ain't,ain't,ain't,,,law_oath_crime,,a contraction of 'is not' or 'are not',,,25,25,2,BroadcastText;ItemSparse,0.6,True
alter,alter,alter;altered,,,ancient_ruins_memory;corruption_defilement_curse,,to change or modify something,change;modify;amend,preserve;conserve;maintain,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
arcanist,arcanist,arcanist,,,magic_artifacts_runes,,a person who practices magic or sorcery,magician;sorcerer;wizard,non-magical;mundane,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
ascendant,ascendant,ascendant,,,nobility_titles_power,,rising or becoming more powerful,rise;grow;increase,decline;fall,25,24,3,ItemNameDescription;JournalEncounter;JournalEncounterSection,0.8,False
brain,brain,brain;brains,,,death_mourning;emotion_morality,,"the organ of the mind that enables thought, reason, and intelligence",mind;intelligence;cerebrum,stupidity;ignorance,25,22,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
broke,broke,broke,,,war_conflict,,broken or shattered into pieces,break;shatter;crush,intact;whole,25,24,3,BroadcastText;ItemSparse;JournalEncounter,0.8,False
bronzebeard,bronzebeard,bronzebeard,,,nobility_titles_power,,a title or name of a person or family,title;name;surname,anonymity;oblivion,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
caution,caution,caution,caution,,law_oath_crime,,a warning or advice to be careful,warning;advice;cautionary,reckless;rash,25,25,3,BroadcastText;ItemSparse;JournalEncounterSection,0.9,False
cenariu,cenariu,cenarius,,,pandaria_mists_celestials,,a night elf god or a title for a night elf,,,25,24,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
chi-ji,chi-ji,chi-ji,,chi-ji,pandaria_mists_celestials,,a person or thing associated with the Red Crane,crane;red;celestial,earthly;mundane,25,21,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
cinderbrew,cinderbrew,cinderbrew,,,corruption_defilement_curse,,a type of corrupted or tainted brew,brew;mead;corrupted,pure;untainted,25,15,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
coil,coil,coil;coils,,,forge_weapons_armor;goblin_engineering_alchemy,,"a spiral or curved shape, especially one made from a rope or wire",spiral;curved;twisted,,25,23,4,ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
connection,connection,connection;connections,connection,,family_relationships;travel_places,,"a link or bond between people, things, or ideas",link;bond;relation,separation;disconnection,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
constant,constant,constant,,,family_relationships,,unchanging or unvarying in nature or character,,,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
darkfuse,darkfuse,darkfuse,,,corruption_defilement_curse,,a type of dark or malevolent energy,dark;malevolent;energy,light;benign,25,25,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
dense,dense,dense,,,nature_druid_emerald,,having a high concentration or density of something,,,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
desolate,desolate,desolate,,,death_undead_crypt,,a place or state of complete desolation,deserted;barren;wasteland,thriving;flourishing,25,25,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
disturb,disturb,disturb;disturbed;disturbing,,,corruption_defilement_curse,,having a state of mind that is upset or troubled,upset;troubled;agitated,calm;peaceful;serene,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
divid,divid,divided,,,war_conflict,,a state of being split or separated,split;separated;fragmented,united;whole,25,25,3,BroadcastText;JournalEncounter;JournalEncounterSection,0.6,True
drum,drum,drum;drums,,,forge_weapons_armor;war_conflict,,a type of musical instrument or sound,music;instrument;sound,,25,25,3,BroadcastText;ItemSparse;JournalEncounterSection,0.7,True
electricity,electricity,electricity,,,elements_primalists,,a form of energy or power,energy;power;force,static;dead,25,25,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
elusive,elusive,elusive,,,nature_druid_emerald,,"difficult to find or catch, often because of being quick or clever",,,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
enchanter,enchanter,enchanter,,,magic_artifacts_runes,,a person who uses magic to enchant or imbue objects with special powers,,,25,25,2,BroadcastText;ItemSparse,0.8,False
experience,experience,experience,,,emotion_morality,,a feeling or sensation of something happening,feeling;sensation;event,ignorance;oblivion,25,25,3,BroadcastText;ItemSparse;JournalEncounter,0.4,True
furnace,furnace,furnace,,,forge_weapons_armor,,a device for heating or burning something,heat;burn;fire,cool;cold,25,23,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.2,True
garalon,garalon,garalon,,,death_undead_crypt,,a type of undead creature or location,undead;creature;location,living;breathing,25,15,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
haranir,haranir,haranir,,,pandaria_mists_celestials,,a type of celestial or divine being,celestial;divine;being,mundane;earthly,25,25,3,BroadcastText;ItemSparse;JournalEncounterSection,0.1,True
infamou,infamou,infamous,,,war_conflict,,well-known or notorious for being bad or unpleasant,,,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
invader,invader,invaders,,,war_conflict,,people or forces that invade a country or territory,,,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
ironforge,ironforge,ironforge,,,titan_order_machinery,,a type of mechanical or industrial device,mechanical;industrial;device,organic;natural,25,25,3,BroadcastText;ItemSparse;JournalEncounter,0.1,True
irontide,irontide,irontide,,,titan_order_machinery,,a type of mechanical or industrial device,mechanical;industrial;device,organic;natural,25,25,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
judge,judge,judge,,,law_oath_crime,,a person or entity that makes decisions or judgments,decision;judgment;person,accused;defendant,25,25,3,BroadcastText;ItemSparse;JournalEncounter,0.1,True
mace,mace,mace,,,forge_weapons_armor,,a heavy club-like weapon,club;sceptre;staff,dagger;sword,25,25,2,ItemSparse;JournalEncounterSection,0.9,False
magmaw,magmaw,magmaw,,,death_undead_crypt,,a massive lava worm,monster;beast;creature,angel;demon,25,13,2,JournalEncounter;JournalEncounterSection,0.8,False
malkorok,malkorok,malkorok,,,nobility_titles_power,,a high-ranking officer or leader,general;commander;officer,servant;peon,25,16,2,JournalEncounter;JournalEncounterSection,0.9,False
merchant,merchant,merchant,,,trade_crafting,,"a person who buys and sells goods, often in a market or store",buy;sell;market,farmer;artisan,25,25,1,ItemSparse,0.8,False
miasma,miasma,miasma,,,corruption_defilement_curse,,a foul or unpleasant smell,stench;odor;stink,fragrance;perfume,25,23,2,ItemSparse;JournalEncounterSection,0.8,False
millhouse,millhouse,millhouse,,,trade_crafting,,a type of building or structure for processing or manufacturing,building;structure;processing,natural;organic,25,18,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
ooze,ooze,ooze,,,death_mourning,,a type of fluid or semi-fluid substance,fluid;substance;matter,solid;stable,25,24,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
overcome,overcome,overcome,,,war_conflict,,to defeat or conquer a challenge or obstacle,,,25,24,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
primu,primu,primus,,,nobility_titles_power,,a high-ranking officer or leader,general;commander;officer,servant;peon,25,24,2,BroadcastText;ItemSparse,0.9,False
pristine,pristine,pristine,,,ancient_ruins_memory,,a state of being untouched or unspoiled,untouched;unspoiled;pure,polluted;tainted,25,25,3,ItemNameDescription;ItemSparse;JournalEncounter,0.1,True
produce,produce,produce;produces,,,trade_crafting,,"to create or make something, possibly related to trade or crafting",create;make;manufacture,,25,25,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
project,project,project;projects,,,trade_crafting,,plans or activities aimed at achieving a goal,,,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
proto-drake,proto-drake,proto-drake;proto-drakes,,proto-drake;proto-drakes,dragons_draconic,,a young or immature dragon,drake;wyrm;whelp,mature;full-grown,25,25,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
prowess,prowess,prowess,,,war_conflict,,a person's skill or ability in a particular activity,,,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
raid,raid,raiding;raids,,,war_conflict,,a large-scale military attack or operation,attack;operation;military,defend;protect,25,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
respect,respect,respect,,,emotion_morality,,a feeling or attitude of esteem or admiration,feeling;attitude;esteem,disrespect;contempt,25,25,3,BroadcastText;ItemSparse;JournalEncounter,0.1,True
